country,city,date,max_temperature
DE,Berlin,2025-07-14,24.1
DE,Berlin,2025-07-15,22.1
DE,Berlin,2025-07-16,20.6
DE,Berlin,2025-07-17,19.2
DE,Berlin,2025-07-18,22.9
DE,Berlin,2025-07-19,26.1
DE,Berlin,2025-07-20,28.9
DE,Berlin,2025-07-21,22.6
DE,Berlin,2025-07-22,21.5
DE,Berlin,2025-07-23,19.7
DE,Berlin,2025-07-24,22.4
DE,Berlin,2025-07-25,23.6
DE,Berlin,2025-07-26,20.8
DE,Berlin,2025-07-27,23.8
DE,Berlin,2025-07-28,22.3
DE,Munich,2025-07-14,23.3
DE,Munich,2025-07-15,24.2
DE,Munich,2025-07-16,22.3
DE,Munich,2025-07-17,20.5
DE,Munich,2025-07-18,24.9
DE,Munich,2025-07-19,29.7
DE,Munich,2025-07-20,31.7
DE,Munich,2025-07-21,21.6
DE,Munich,2025-07-22,23.0
DE,Munich,2025-07-23,25.4
DE,Munich,2025-07-24,20.4
DE,Munich,2025-07-25,20.7
DE,Munich,2025-07-26,18.7
DE,Munich,2025-07-27,19.8
DE,Munich,2025-07-28,16.8
DE,Frankfurt,2025-07-14,25.6
DE,Frankfurt,2025-07-15,24.2
DE,Frankfurt,2025-07-16,22.2
DE,Frankfurt,2025-07-17,19.5
DE,Frankfurt,2025-07-18,22.9
DE,Frankfurt,2025-07-19,26.1
DE,Frankfurt,2025-07-20,28.8
DE,Frankfurt,2025-07-21,26.4
DE,Frankfurt,2025-07-22,23.0
DE,Frankfurt,2025-07-23,20.3
DE,Frankfurt,2025-07-24,23.1
DE,Frankfurt,2025-07-25,24.0
DE,Frankfurt,2025-07-26,22.2
DE,Frankfurt,2025-07-27,22.9
DE,Frankfurt,2025-07-28,22.0
HU,Budapest,2025-07-14,34.4
HU,Budapest,2025-07-15,31.4
HU,Budapest,2025-07-16,27.8
HU,Budapest,2025-07-17,24.6
HU,Budapest,2025-07-18,22.6
HU,Budapest,2025-07-19,28.1
HU,Budapest,2025-07-20,32.2
HU,Budapest,2025-07-21,35.3
HU,Budapest,2025-07-22,29.9
HU,Budapest,2025-07-23,32.3
HU,Budapest,2025-07-24,34.0
HU,Budapest,2025-07-25,32.3
HU,Budapest,2025-07-26,32.2
HU,Budapest,2025-07-27,24.8
HU,Budapest,2025-07-28,24.8
HU,Debrecen,2025-07-14,30.5
HU,Debrecen,2025-07-15,29.9
HU,Debrecen,2025-07-16,25.3
HU,Debrecen,2025-07-17,22.5
HU,Debrecen,2025-07-18,23.2
HU,Debrecen,2025-07-19,26.4
HU,Debrecen,2025-07-20,30.8
HU,Debrecen,2025-07-21,34.0
HU,Debrecen,2025-07-22,30.8
HU,Debrecen,2025-07-23,31.0
HU,Debrecen,2025-07-24,33.4
HU,Debrecen,2025-07-25,32.7
HU,Debrecen,2025-07-26,36.8
HU,Debrecen,2025-07-27,25.7
HU,Debrecen,2025-07-28,24.2
HU,Szeged,2025-07-14,34.0
HU,Szeged,2025-07-15,31.4
HU,Szeged,2025-07-16,28.5
HU,Szeged,2025-07-17,21.9
HU,Szeged,2025-07-18,24.9
HU,Szeged,2025-07-19,28.3
HU,Szeged,2025-07-20,32.5
HU,Szeged,2025-07-21,35.3
HU,Szeged,2025-07-22,30.9
HU,Szeged,2025-07-23,33.0
HU,Szeged,2025-07-24,35.2
HU,Szeged,2025-07-25,35.9
HU,Szeged,2025-07-26,37.7
HU,Szeged,2025-07-27,26.4
HU,Szeged,2025-07-28,26.9
